Capgemini HMS Backend – Complete API Reference (Static Analysis),,,,,,,,,,,,,,,,,,,,,,,,
Controller,Method,Endpoint,Description,Access,Expected JSON Response,Status Code,Module / Service Name,Full URL,Path Variables,Query Params,Request Headers,Request Body (DTO),Request DTO Structure,Response DTO Structure,Business Logic Flow,Database Impact,Relationships Used,Security Details,Validation Rules,Error Scenarios,Side Effects,Idempotency,Transactional Behavior,External Calls,Audit / Logging,Performance Considerations
Medication,PUT,/api/v1/medications/{code},Update medication details,ADMIN only,"{""success"":true,""message"":""Medication details updated successfully""}",200 OK,Medication / MedicationService,/api/v1/medications/{code},code: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","MedicationDTO: {name, brand, description}","name: String | @NotBlank; brand: String | @NotBlank; description: String | Optional","MedicationDTO (updated)","1. ADMIN. 2. dto.setCode(code). 3. medicationService.updateMedication. 4. Save.","Table: medication (SELECT + UPDATE) | Operation: UPDATE","None","ADMIN","@NotBlank name/brand","400; 403; 404","None","Yes","No","None","None","Single row"
Medication,GET,/api/v1/medications/search,Search medications by name or brand,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Medication / MedicationService,/api/v1/medications/search,None,"query: String; page; size","Cookie: JSESSIONID","None","None","PagedResponse<MedicationDTO>","1. @PreAuthorize. 2. medicationService.searchMedications(query, pageable). 3. LIKE on name+brand WHERE is_deleted=false.","Table: medication (SELECT LIKE) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","query required","400; 403","None","Yes","No","None","None","LIKE query concern; index name/brand"
Medication,DELETE,/api/v1/medications/{code},Soft-delete a medication,ADMIN only,"{""success"":true,""message"":""Medication record deleted successfully""}",200 OK,Medication / MedicationService,/api/v1/medications/{code},code: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","⚠️ BUG: deleteMedication() method in controller is missing @DeleteMapping annotation. Method exists but is never mapped to DELETE /api/v1/medications/{code}.","Table: medication (UPDATE is_deleted=true) if reachable | Operation: UPDATE","None","ADMIN (inferred — endpoint not reachable due to missing annotation)","None","503: Endpoint unreachable — missing @DeleteMapping","None","N/A — endpoint not mapped","@Transactional","None","None","CRITICAL BUG: @DeleteMapping annotation missing from deleteMedication() in MedicationController"
Nurse,GET,/api/v1/nurses,Get paginated list of nurses,Authenticated (no PreAuthorize),"{""success"":true,""data"":{""content"":[...]}}",200 OK,Nurse / StaffService + NurseRepository,/api/v1/nurses,None,"page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<NurseDTO>: {employeeId; name; position; registered; ssn}","1. No @PreAuthorize — anyRequest().authenticated(). 2. staffService.getAllNurses(pageable). 3. findAllActive(). 4. Map to NurseDTO.","Table: nurse (SELECT) | Operation: SELECT","None","Authenticated session","None","401","None","Yes","No","None","None","Paginated"
Nurse,GET,/api/v1/nurses/{id},Get nurse by ID,Authenticated,"{""success"":true,""data"":{""employeeId"":101,...}}",200 OK,Nurse / StaffService + NurseRepository,/api/v1/nurses/{id},id: Integer,None,"Cookie: JSESSIONID","None","None","NurseDTO: {employeeId; name; position; registered; ssn}","1. staffService.getNurseById(id). 2. Filter isDeleted=false. 3. Return DTO.","Table: nurse (SELECT by PK) | Operation: SELECT","None","Authenticated","None","404; 401","None","Yes","No","None","None","PK lookup"
Nurse,POST,/api/v1/nurses,Register a new nurse,ADMIN only,"{""success"":true,""message"":""Nurse record created successfully""}",200 OK,Nurse / StaffService + NurseRepository,/api/v1/nurses,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","NurseDTO: {employeeId, name, position, registered, ssn}","employeeId: Integer | @NotNull; name: String | @NotBlank; position: String | @NotBlank; registered: Boolean | @NotNull; ssn: Integer | @NotNull","NurseDTO (created)","1. @PreAuthorize ADMIN; global POST rule hasRole(ADMIN). 2. Build Nurse entity. 3. staffService.saveNurse(). 4. Return.","Table: nurse (INSERT) | Operation: INSERT","None","@PreAuthorize hasRole('ADMIN')","@NotNull employeeId, ssn, registered; @NotBlank name, position","400; 403; 409: Duplicate employeeId","None","No","No","None","None","Low volume"
Nurse,PUT,/api/v1/nurses/{id},Update nurse profile,ADMIN only,"{""success"":true,""message"":""Nurse record updated successfully""}",200 OK,Nurse / StaffService + NurseRepository,/api/v1/nurses/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","NurseDTO: {name, position, registered, ssn}","name: String | @NotBlank; position: String | @NotBlank; registered: Boolean | @NotNull; ssn: Integer | @NotNull","NurseDTO (updated)","1. ADMIN. 2. nurseDTO.setEmployeeId(id). 3. Build entity. 4. staffService.updateNurse. 5. Save.","Table: nurse (SELECT + UPDATE) | Operation: UPDATE","None","ADMIN","@NotBlank/@NotNull fields","400; 403; 404","None","Yes","@Transactional","None","None","Single row"
Nurse,DELETE,/api/v1/nurses/{id},Soft-delete a nurse record,ADMIN only,"{""success"":true,""message"":""Nurse record deleted successfully""}",200 OK,Nurse / StaffService + NurseRepository,/api/v1/nurses/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. ADMIN. 2. staffService.deleteNurse(id). 3. isDeleted=true. 4. Save.","Table: nurse (UPDATE) | Operation: UPDATE","None","ADMIN; global DELETE rule","None","403; 404","None","No (idempotent after first call)","@Transactional","None","None","Single row"
OnCall,POST,/api/v1/shifts,Assign an on-call shift to a nurse,ADMIN / NURSE,"{""success"":true,""message"":""Shift assigned successfully""}",200 OK,OnCall / OnCallService + OnCallRepository,/api/v1/shifts,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","OnCallDTO: {nurseId, blockFloor, blockCode, onCallStart, onCallEnd}","nurseId: Integer | @NotNull; blockFloor: Integer | @NotNull; blockCode: Integer | @NotNull; onCallStart: LocalDateTime | @NotNull; onCallEnd: LocalDateTime | @NotNull","OnCallDTO (saved record)","1. @PreAuthorize ADMIN/NURSE. 2. onCallService.assignShift(nurseId, floor, code, start, end). 3. Lookup nurse + validate block. 4. Save OnCall with composite key (nurse, floor, code, start, end).","Table: on_call (INSERT); nurse (SELECT); block (SELECT) | Operation: INSERT","OnCall composite PK → Nurse; Block","@PreAuthorize hasAnyRole('ADMIN','NURSE')","@NotNull all fields","400; 403; 500: Nurse or Block not found; 409: Shift overlap not validated","None","No","No","None","None","⚠️ No overlap/conflict validation for nurse schedules"
OnCall,GET,/api/v1/shifts/nurse/{id},Get all shifts for a nurse,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":[{...}]}",200 OK,OnCall / OnCallService + OnCallRepository,/api/v1/shifts/nurse/{id},id: Integer (nurseId),None,"Cookie: JSESSIONID","None","None","List<OnCallDTO>: [{nurseId; blockFloor; blockCode; onCallStart; onCallEnd}]","1. @PreAuthorize ADMIN/DOCTOR/NURSE. 2. onCallService.getNurseShifts(id). 3. Query by nurseId. 4. Map to DTO.","Table: on_call (SELECT by nurseId) | Operation: SELECT","OnCall → ManyToOne → Nurse; Block","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403; 404 returns empty list","None","Yes","No","None","None","List without pagination"
OnCall,GET,/api/v1/shifts/block/{floor}/{code},Get all nurses covering a block/floor,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":[{...}]}",200 OK,OnCall / OnCallService + OnCallRepository,/api/v1/shifts/block/{floor}/{code},"floor: Integer; code: Integer",None,"Cookie: JSESSIONID","None","None","List<OnCallDTO>","1. @PreAuthorize ADMIN/DOCTOR/NURSE. 2. onCallService.getBlockCoverage(floor, code). 3. Query by block composite key. 4. Map to DTO.","Table: on_call (SELECT by floor+code) | Operation: SELECT","OnCall → ManyToOne → Block","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403; empty list if no coverage","None","Yes","No","None","None","Low cardinality lookup"
Prescription,GET,/api/v1/prescriptions/my,Get prescriptions for the logged-in patient,PATIENT only,"{""success"":true,""data"":[{...}]}",200 OK,Prescription / PrescriptionService + PrescriptionRepository,/api/v1/prescriptions/my,None,None,"Cookie: JSESSIONID","None","None","List<Prescription>: {id:{physicianId,patientSsn,medicationCode,date}; physician; patient; medication; dose}","1. Extract patientSsn from SecurityContext. 2. prescriptionService.getPatientPrescriptions(ssn). 3. Query by patientSsn. 4. Return list.","Table: prescribes (SELECT by patientSsn) | Operation: SELECT","Prescription → ManyToOne → Physician; Patient; Medication","anyRequest().authenticated(); PATIENT role implicitly via SecurityContext check","None","500: Account not linked to patient SSN; 401","None","Yes","No","None","None","⚠️ Returns raw Prescription entity (not DTO) — risk of over-exposure of nested entity data"
Prescription,POST,/api/v1/prescriptions,Create a new prescription,ADMIN / DOCTOR (per security config rule),"{""success"":true,""message"":""Prescription created successfully""}",200 OK,Prescription / PrescriptionService + PrescriptionRepository,/api/v1/prescriptions,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","PrescriptionRequest: {physicianId, patientSsn, medicationCode, date, appointmentId?, dose}","physicianId: Integer | @NotNull; patientSsn: Integer | @NotNull; medicationCode: Integer | @NotNull; date: LocalDateTime | @NotNull; dose: String | @NotBlank; appointmentId: Integer | Optional","ApiResponse<String>","1. POST rule: hasAnyRole(ADMIN,DOCTOR). 2. Build PrescriptionId composite key. 3. Build stub Physician/Patient/Medication objects (no DB lookup). 4. Set dose. 5. prescriptionService.createPrescription(prescription, appointmentId). 6. Save.","Table: prescribes (INSERT); appointment referenced by ID | Operation: INSERT","Prescription composite PK → Physician + Patient + Medication","Security config POST /api/v1/prescriptions** hasAnyRole(ADMIN,DOCTOR)","@NotNull physicianId/patientSsn/medicationCode/date; @NotBlank dose","400; 403; 409: Duplicate composite key","None","No","No","None","None","⚠️ Uses stub entity pattern — no FK validation; invalid physicianId/patientSsn/medicationCode will fail at DB constraint level"
Prescription,GET,/api/v1/prescriptions/patient/{ssn},Get prescriptions for a specific patient (by staff),ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":[{...}]}",200 OK,Prescription / PrescriptionService,/api/v1/prescriptions/patient/{ssn},ssn: Integer,None,"Cookie: JSESSIONID","None","None","List<Prescription> (raw entity)","1. prescriptionService.getPatientPrescriptions(ssn). 2. Query by patientSsn. 3. Return.","Table: prescribes (SELECT by patientSsn) | Operation: SELECT","Prescription → ManyToOne → Physician; Patient; Medication","anyRequest().authenticated()","None","401; returns empty list if no prescriptions","None","Yes","No","None","None","⚠️ Returns raw entity; no role restriction — any authenticated user can view any patient's prescriptions"
Certification,POST,/api/v1/certifications,Certify a physician for a procedure,ADMIN only (via security config),"{""success"":true,""message"":""Physician certification recorded successfully""}",200 OK,Procedure / CertificationService + TrainedInRepository,/api/v1/certifications,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","CertificationRequest: {physicianId, procedureCode, certificationDate, certificationExpires}","physicianId: Integer | @NotNull; procedureCode: Integer | @NotNull; certificationDate: LocalDateTime | @NotNull; certificationExpires: LocalDateTime | @NotNull","ApiResponse<String>","1. POST /api/v1/certifications hasRole(ADMIN). 2. certificationService.certifyPhysician(request). 3. Build TrainedIn entity with composite key. 4. Save.","Table: trained_in (INSERT); physician + procedure (SELECT) | Operation: INSERT","TrainedIn composite PK → Physician + Procedure","Security config: POST /api/v1/certifications/** hasRole('ADMIN')","@NotNull all fields","400; 403; 500: Physician or Procedure not found","None","No","No","None","None","Low volume"
Certification,GET,/api/v1/certifications/physician/{id},Get all certifications for a physician,ADMIN / DOCTOR / NURSE / PATIENT,"{""success"":true,""data"":[{...}]}",200 OK,Procedure / CertificationService + TrainedInRepository,/api/v1/certifications/physician/{id},id: Integer (physicianId),None,"Cookie: JSESSIONID","None","None","List<TrainedIn>: {id:{physicianId,procedureCode}; certificationDate; certificationExpires}","1. GET rule: hasAnyRole(ADMIN,DOCTOR,NURSE,PATIENT). 2. certificationService.getPhysicianCertifications(id). 3. Query by physicianId. 4. Return list.","Table: trained_in (SELECT by physicianId) | Operation: SELECT","TrainedIn → ManyToOne → Physician; Procedure","GET /api/v1/certifications/** hasAnyRole(ADMIN,DOCTOR,NURSE,PATIENT)","None","401; empty list if no certifications","None","Yes","No","None","None","⚠️ Returns raw TrainedIn entity — exposes full composite key"
MedicalRecord,GET,/api/v1/medical-records/my,Get medical history for logged-in patient,PATIENT only,"{""success"":true,""data"":[{...}]}",200 OK,Procedure / MedicalRecordService + UndergoesRepository,/api/v1/medical-records/my,None,None,"Cookie: JSESSIONID","None","None","List<Undergoes>: {id; patient; procedure; stay; dateUndergoes; physician; assistingNurse; notes}","1. Extract patientSsn from SecurityContext. 2. medicalRecordService.getPatientMedicalHistory(ssn). 3. Query by patientSsn. 4. Return list.","Table: undergoes (SELECT by patientSsn) | Operation: SELECT","Undergoes → ManyToOne → Patient; Procedure; Stay; Physician; Nurse","GET /api/v1/medical-records/** hasAnyRole(ADMIN,DOCTOR,NURSE,PATIENT); PATIENT-only via SecurityContext","None","500: Account not linked to patient; 401","None","Yes","No","None","None","Returns full history list — no pagination"
MedicalRecord,POST,/api/v1/medical-records/procedure,Record a procedure performed on a patient,ADMIN / NURSE / DOCTOR,"{""success"":true,""message"":""Medical procedure recorded successfully""}",200 OK,Procedure / MedicalRecordService + UndergoesRepository,/api/v1/medical-records/procedure,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","UndergoesRequest: {patientSsn, procedureCode, stayId, dateUndergoes, physicianId, assistingNurseId, notes?}","patientSsn: Integer | @NotNull; procedureCode: Integer | @NotNull; stayId: Integer | @NotNull; dateUndergoes: LocalDateTime | @NotNull; physicianId: Integer | @NotNull; assistingNurseId: Integer | @NotNull; notes: String | Optional","ApiResponse<String>","1. POST rule: hasAnyRole(ADMIN,NURSE,DOCTOR). 2. medicalRecordService.recordProcedure(all params). 3. Lookup all FK entities. 4. Build Undergoes with composite key. 5. Save.","Table: undergoes (INSERT); patient; procedure; stay; physician; nurse (all SELECT) | Operation: INSERT","Undergoes composite PK → Patient + Procedure + Stay (+ Physician + Nurse)","Security config POST /api/v1/medical-records/procedure** hasAnyRole(ADMIN,NURSE,DOCTOR)","@NotNull all fields except notes","400; 403; 500: Any FK entity not found","None","No","@Transactional (inferred)","None","None","5 FK lookups + 1 insert — consider batch validation"
MedicalRecord,GET,/api/v1/medical-records/patient/{ssn},Get full medical history for a patient (staff view),ADMIN / DOCTOR / NURSE / PATIENT,"{""success"":true,""data"":[{...}]}",200 OK,Procedure / MedicalRecordService,/api/v1/medical-records/patient/{ssn},ssn: Integer,None,"Cookie: JSESSIONID","None","None","List<Undergoes>","1. GET rule: ADMIN/DOCTOR/NURSE/PATIENT. 2. medicalRecordService.getPatientMedicalHistory(ssn). 3. Return.","Table: undergoes (SELECT by patientSsn) | Operation: SELECT","Undergoes → ManyToOne → Patient; Procedure; Stay; Physician; Nurse","GET /api/v1/medical-records/** hasAnyRole(ADMIN,DOCTOR,NURSE,PATIENT)","None","401; empty list","⚠️ A PATIENT can call this endpoint with any SSN — no ownership enforcement on this path","Yes","No","None","None","No pagination; could be large"
MedicalRecord,GET,/api/v1/medical-records/stay/{stayId},Get all procedures for a specific stay,ADMIN / DOCTOR / NURSE / PATIENT,"{""success"":true,""data"":[{...}]}",200 OK,Procedure / MedicalRecordService,/api/v1/medical-records/stay/{stayId},stayId: Integer,None,"Cookie: JSESSIONID","None","None","List<Undergoes>","1. GET rule: ADMIN/DOCTOR/NURSE/PATIENT. 2. medicalRecordService.getStayProcedures(stayId). 3. Return.","Table: undergoes (SELECT by stayId) | Operation: SELECT","Undergoes → ManyToOne → Stay","GET /api/v1/medical-records/**","None","401; empty list","⚠️ Same — PATIENT could query any stayId","Yes","No","None","None","Bounded by stay; safe"
Procedure,GET,/api/v1/procedures,Get paginated list of medical procedures,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Procedure / ProcedureService + ProcedureRepository,/api/v1/procedures,None,"page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<ProcedureDTO>: {code; name; cost}","1. @PreAuthorize ADMIN/DOCTOR/NURSE. 2. procedureService.getAllProcedures(pageable). 3. findAllActive(). 4. Map to DTO.","Table: procedure (SELECT) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE'); global GET rule","None","403; 401","None","Yes","No","None","None","Paginated; safe"
Procedure,GET,/api/v1/procedures/{code},Get procedure by code,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""code"":1,...}}",200 OK,Procedure / ProcedureService,/api/v1/procedures/{code},code: Integer,None,"Cookie: JSESSIONID","None","None","ProcedureDTO: {code; name; cost}","1. @PreAuthorize. 2. procedureService.getProcedureByCode(code). 3. Filter isDeleted=false. 4. Return.","Table: procedure (SELECT by PK) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403; 404","None","Yes","No","None","None","PK lookup"
Procedure,POST,/api/v1/procedures,Add a new procedure to catalog,ADMIN only,"{""success"":true,""message"":""Procedure added to catalog successfully""}",200 OK,Procedure / ProcedureService,/api/v1/procedures,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","ProcedureDTO: {code, name, cost}","code: Integer | @NotNull; name: String | @NotBlank; cost: BigDecimal | @NotNull","ProcedureDTO (created)","1. @PreAuthorize ADMIN. 2. convertToEntity. 3. procedureService.saveProcedure(). 4. Return.","Table: procedure (INSERT) | Operation: INSERT","None","@PreAuthorize hasRole('ADMIN')","@NotNull code; @NotBlank name; @NotNull cost","400; 403; 409","None","No","No","None","None","Low volume"
Procedure,PUT,/api/v1/procedures/{code},Update procedure details,ADMIN only,"{""success"":true,""message"":""Procedure details updated successfully""}",200 OK,Procedure / ProcedureService,/api/v1/procedures/{code},code: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","ProcedureDTO: {name, cost}","name: String | @NotBlank; cost: BigDecimal | @NotNull","ProcedureDTO (updated)","1. ADMIN. 2. dto.setCode(code). 3. procedureService.updateProcedure. 4. Save.","Table: procedure (SELECT + UPDATE) | Operation: UPDATE","None","ADMIN","@NotBlank name; @NotNull cost","400; 403; 404","None","Yes","No","None","None","Single row"
Procedure,GET,/api/v1/procedures/search,Search procedures by name,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Procedure / ProcedureService,/api/v1/procedures/search,None,"query: String; page; size","Cookie: JSESSIONID","None","None","PagedResponse<ProcedureDTO>","1. @PreAuthorize. 2. procedureService.searchProcedures(query, pageable). 3. LIKE on name WHERE is_deleted=false.","Table: procedure (SELECT LIKE) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","query required","400; 403","None","Yes","No","None","None","LIKE query"
Procedure,DELETE,/api/v1/procedures/{code},Soft-delete a procedure,ADMIN only,"{""success"":true,""message"":""Procedure record deleted successfully""}",200 OK,Procedure / ProcedureService,/api/v1/procedures/{code},code: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","⚠️ BUG: deleteProcedure() is missing @DeleteMapping annotation. Same bug as MedicationController.","Table: procedure (UPDATE) if reachable | Operation: UPDATE","None","ADMIN (inferred)","None","503: Endpoint unreachable","None","N/A","@Transactional","None","None","CRITICAL BUG: @DeleteMapping annotation missing from deleteProcedure() in ProcedureController"
Room,GET,/api/v1/rooms,Get paginated list of all rooms,Authenticated (ADMIN per security config),"{""success"":true,""data"":{""content"":[...]}}",200 OK,Room / RoomService + RoomRepository,/api/v1/rooms,None,"page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<RoomDTO>: {roomNumber; roomType; blockFloor; blockCode; unavailable}","1. Security: /api/v1/rooms/** hasRole(ADMIN). 2. roomService.getAllRooms(pageable). 3. findAllActive(). 4. Map to DTO.","Table: room (SELECT) | Operation: SELECT","Room → ManyToOne → Block","security config: /api/v1/blocks/** and /api/v1/rooms/** hasRole('ADMIN')","None","403; 401","None","Yes","No","None","None","Paginated"
Room,GET,/api/v1/rooms/available,Get all currently available rooms,ADMIN only,"{""success"":true,""data"":[{...}]}",200 OK,Room / RoomService,/api/v1/rooms/available,None,None,"Cookie: JSESSIONID","None","None","List<RoomDTO>","1. ADMIN. 2. roomService.getAvailableRooms(). 3. Query WHERE unavailable=false AND is_deleted=false. 4. Map.","Table: room (SELECT WHERE unavailable=false) | Operation: SELECT","Room → ManyToOne → Block","ADMIN","None","403; 401","None","Yes","No","None","None","No pagination — could be large"
Room,GET,/api/v1/rooms/unavailable,Get all currently occupied rooms,ADMIN only,"{""success"":true,""data"":[{...}]}",200 OK,Room / RoomService,/api/v1/rooms/unavailable,None,None,"Cookie: JSESSIONID","None","None","List<RoomDTO>","1. ADMIN. 2. roomService.getUnavailableRooms(). 3. Query WHERE unavailable=true AND is_deleted=false.","Table: room (SELECT WHERE unavailable=true) | Operation: SELECT","Room → ManyToOne → Block","ADMIN","None","403; 401","None","Yes","No","None","None","No pagination"
Room,GET,/api/v1/rooms/type/{roomType},Get rooms filtered by type,ADMIN only,"{""success"":true,""data"":[{...}]}",200 OK,Room / RoomService,/api/v1/rooms/type/{roomType},roomType: String,None,"Cookie: JSESSIONID","None","None","List<RoomDTO>","1. ADMIN. 2. roomService.getRoomsByType(roomType). 3. Query by roomType WHERE is_deleted=false.","Table: room (SELECT by type) | Operation: SELECT","Room → ManyToOne → Block","ADMIN","None","403; 404 (empty list)","None","Yes","No","None","None","No pagination"
Room,GET,/api/v1/rooms/available/type/{roomType},Get available rooms of a specific type,ADMIN only,"{""success"":true,""data"":[{...}]}",200 OK,Room / RoomService,/api/v1/rooms/available/type/{roomType},roomType: String,None,"Cookie: JSESSIONID","None","None","List<RoomDTO>","1. ADMIN. 2. roomService.getAvailableRoomsByType(roomType). 3. Query WHERE type=? AND unavailable=false AND is_deleted=false.","Table: room | Operation: SELECT","Room → ManyToOne → Block","ADMIN","None","403; empty list","None","Yes","No","None","None","No pagination"
Room,GET,/api/v1/rooms/unavailable/type/{roomType},Get occupied rooms of a specific type,ADMIN only,"{""success"":true,""data"":[{...}]}",200 OK,Room / RoomService,/api/v1/rooms/unavailable/type/{roomType},roomType: String,None,"Cookie: JSESSIONID","None","None","List<RoomDTO>","1. ADMIN. 2. roomService.getUnavailableRoomsByType(roomType). 3. Query WHERE type=? AND unavailable=true.","Table: room | Operation: SELECT","Room → ManyToOne → Block","ADMIN","None","403; empty list","None","Yes","No","None","None","No pagination"
Room,GET,/api/v1/rooms/{roomNumber},Get room by number,ADMIN only,"{""success"":true,""data"":{...}}",200 OK,Room / RoomService,/api/v1/rooms/{roomNumber},roomNumber: Integer,None,"Cookie: JSESSIONID","None","None","RoomDTO: {roomNumber; roomType; blockFloor; blockCode; unavailable}","1. ADMIN. 2. roomService.getRoomByNumber(roomNumber). 3. Filter isDeleted=false. 4. Return.","Table: room (SELECT by PK) | Operation: SELECT","Room → ManyToOne → Block","ADMIN","None","403; 404","None","Yes","No","None","None","PK lookup"
Room,POST,/api/v1/rooms,Create a new room,ADMIN only,"{""success"":true,""message"":""Room created successfully""}",200 OK,Room / RoomService + BlockRepository,/api/v1/rooms,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","RoomDTO: {roomNumber, roomType, blockFloor, blockCode, unavailable?}","roomNumber: Integer | @NotNull; roomType: String | @NotBlank; blockFloor: Integer | @NotNull; blockCode: Integer | @NotNull; unavailable: Boolean | Optional (default false)","RoomDTO (created)","1. @PreAuthorize ADMIN. 2. Build BlockId from floor+code. 3. Lookup Block in DB. 4. Build Room entity. 5. roomService.saveRoom(). 6. Return.","Table: room (INSERT); block (SELECT) | Operation: INSERT","Room → ManyToOne → Block","@PreAuthorize hasRole('ADMIN')","@NotNull roomNumber; @NotBlank roomType; @NotNull blockFloor/blockCode","400; 403; 500: Block not found; 409: Duplicate room number","None","No","No","None","None","Block lookup + insert"
Room,PUT,/api/v1/rooms/{roomNumber},Update room details,ADMIN only,"{""success"":true,""message"":""Room details updated successfully""}",200 OK,Room / RoomService,/api/v1/rooms/{roomNumber},roomNumber: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","RoomDTO: {roomType, blockFloor, blockCode, unavailable}","roomType: String | @NotBlank; blockFloor: Integer | @NotNull; blockCode: Integer | @NotNull","RoomDTO (updated)","1. ADMIN. 2. dto.setRoomNumber(roomNumber). 3. Lookup Block. 4. Build entity. 5. roomService.updateRoom. 6. Save.","Table: room (SELECT + UPDATE) | Operation: UPDATE","Room → ManyToOne → Block","ADMIN","@NotBlank/@NotNull fields","400; 403; 404; 500: Block not found","None","Yes","No","None","None","Block lookup + update"
Room,DELETE,/api/v1/rooms/{roomNumber},Soft-delete a room record,ADMIN only,"{""success"":true,""message"":""Room record deleted successfully""}",200 OK,Room / RoomService,/api/v1/rooms/{roomNumber},roomNumber: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. ADMIN. 2. roomService.deleteRoom(roomNumber). 3. isDeleted=true. 4. Save.","Table: room (UPDATE) | Operation: UPDATE","None","ADMIN","None","403; 404","None","No","@Transactional","None","None","Single row"
Block,GET,/api/v1/blocks,Get all hospital blocks,ADMIN only,"{""success"":true,""data"":[{...}]}",200 OK,Room / BlockService + BlockRepository,/api/v1/blocks,None,None,"Cookie: JSESSIONID","None","None","List<BlockDTO>: {blockFloor; blockCode}","1. ADMIN (/api/v1/blocks/** hasRole(ADMIN)). 2. blockService.getAllBlocks(). 3. Map to DTO.","Table: block (SELECT all) | Operation: SELECT","None","security config /api/v1/blocks** hasRole('ADMIN')","None","403; 401","None","Yes","No","None","None","Returns full list — typically small dataset"
Block,POST,/api/v1/blocks,Create a new hospital block,ADMIN only,"{""success"":true,""message"":""Block created successfully""}",200 OK,Room / BlockService,/api/v1/blocks,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","BlockDTO: {blockFloor, blockCode}","blockFloor: Integer | @NotNull; blockCode: Integer | @NotNull","BlockDTO (created)","1. ADMIN. 2. Build Block with composite BlockId. 3. blockService.saveBlock(). 4. Return.","Table: block (INSERT) | Operation: INSERT","None","ADMIN","@NotNull blockFloor and blockCode","400; 403; 409: Duplicate composite key","None","No","No","None","None","Low volume"
Block,DELETE,/api/v1/blocks,Delete a block,ADMIN only,"{""success"":true,""message"":""Block deleted successfully""}",200 OK,Room / BlockService,/api/v1/blocks,None,"floor: Integer; code: Integer","Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. ADMIN. 2. blockService.deleteBlock(floor, code). 3. Hard or soft delete. 4. Return.","Table: block (DELETE) | Operation: DELETE","None","ADMIN","floor and code required query params","403; 404; 500: Rooms still assigned to block (FK constraint)","⚠️ Will cascade or fail if rooms are linked to this block","No","@Transactional","None","None","⚠️ No check for associated rooms before delete — DB FK constraint may throw 500"
Stay,GET,/api/v1/stays/my,Get stays for logged-in patient,PATIENT only,"{""success"":true,""data"":[{...}]}",200 OK,Stay / StayService + StayRepository,/api/v1/stays/my,None,None,"Cookie: JSESSIONID","None","None","List<StayResponse>: {stayId; patientName; roomNumber; stayStart; stayEnd; notes}","1. PATIENT role. 2. Extract patientSsn from SecurityContext. 3. stayService.getPatientStays(ssn). 4. stayRepository.findByPatientSsnActive(). 5. Map to StayResponse.","Table: stay (SELECT by patientSsn) | Operation: SELECT","Stay → ManyToOne → Patient; Room","anyRequest().authenticated()","None","500: Account not linked to patient SSN; 401","None","Yes","No","None","None","Returns full list; no pagination"
